Product,Price,Date
Sapphire NITRO+ Radeon RX 7800 XT,€599.90,globaldatapt,https://www.globaldata.pt/grafica-sapphire-radeon-rx-7800-xt-nitro+-oc-16gb-gddr6-11330-01-20g,16/10/2024 - 10:27:58
PowerColor Hellhound OC Radeon RX 7800 XT,€579.90,globaldatapt,https://www.globaldata.pt/grafica-powercolor-radeon-rx-7800-xt-hellhound-oc-16gb-gddr6-rx7800xt16gb-loc,16/10/2024 - 10:27:58
ASRock Challenger OC Radeon RX 7800 XT,€568.19,pccomponentespt,https://www.awin1.com/pclick.php?p=36354857052&a=127079&m=20983,16/10/2024 - 10:27:58
ASRock Phantom Gaming OC Radeon RX 7800 XT,€597.50,switchtechnologypt,https://switchtechnology.pt/produto/placa-grafica-asrock-radeon-rx-7800-xt-phantom-gaming-oc-16gb-gddr6/,16/10/2024 - 10:27:58
XFX Speedster QICK 319 Core Radeon RX 7800 XT,€559.08,pccomponentespt,https://www.awin1.com/pclick.php?p=36530382133&a=127079&m=20983,16/10/2024 - 10:27:58
XFX Speedster MERC 319 Black Radeon RX 7800 XT,€609.90,pcdiga,https://www.pcdiga.com/componentes/placas-graficas/placas-graficas-amd/placa-grafica-xfx-radeon-rx-7800-xt-speedster-merc-319-black-edition-16gb-gddr6-rx-78tmercb9-840191502460,16/10/2024 - 10:27:58
PowerColor Red Devil OC Radeon RX 7800 XT,€619.90,globaldatapt,https://www.globaldata.pt/grafica-powercolor-radeon-rx-7800-xt-red-devil-oc-16gb-gddr6-rx7800xt16gb-eoc,16/10/2024 - 10:27:58
Gigabyte GAMING OC Radeon RX 7800 XT,€517.41,pccomponentespt,https://www.awin1.com/pclick.php?p=36321338558&a=127079&m=20983,16/10/2024 - 10:27:58
